epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.917563506535122,6.9212625,0.1,0.441999999294281
1,6.85073641368321,6.91783625,0.114,0.4419999995803833
2,6.6834462370191305,6.91354375,0.122,0.4720000003051758
3,6.53071083341326,6.909345,0.13,0.5519999997329712
4,6.475775480270386,6.90370625,0.1499999999332428,0.6720000010681152
5,6.358829464231219,6.895375,0.1799999998855591,0.8179999989318848
6,6.295549392700195,6.88765625,0.19600000061035155,0.9060000073242187
7,6.2199820790972025,6.87907125,0.22200000133514405,1.1040000079345702
8,6.160135473523821,6.87032625,0.28600000205993653,1.23
9,6.10418176651001,6.860395,0.3240000020599365,1.3900000004577637
